zip,lat,lon,city,state,precision
01436,42.60143,-72.08384,Baldwinville,MA,coarse
01438,42.55168,-72.02943,East Templeton,MA,coarse
01440,42.58253,-72.02588,Gardner,MA,coarse
01441,42.36481,-71.89687,Westminster,MA,coarse
01450,42.44640,-71.45941,Groton,MA,coarse
01451,42.50019,-71.57586,Harvard,MA,coarse
01452,42.48389,-72.01152,Hubbardston,MA,coarse
01453,42.47132,-71.83751,Leominster,MA,coarse
01460,42.44640,-71.45941,Littleton,MA,coarse
01462,42.58332,-71.75227,Lunenburg,MA,coarse
01463,42.44640,-71.45941,Pepperell,MA,coarse
01464,42.44640,-71.45941,Shirley,MA,coarse
01467,42.48706,-71.61308,Still River,MA,coarse
01468,42.55506,-72.07228,Templeton,MA,coarse
01469,42.44640,-71.45941,Townsend,MA,coarse
01470,42.44640,-71.45941,Groton,MA,coarse
01471,42.44640,-71.45941,Groton,MA,coarse
01472,42.44640,-71.45941,West Groton,MA,coarse
01473,42.54949,-71.91322,Westminster,MA,coarse
01474,42.44640,-71.45941,West Townsend,MA,coarse
01475,42.66161,-72.04788,Winchendon,MA,coarse
01477,42.36481,-71.89687,Winchendon Springs,MA,coarse
01501,42.18483,-71.94718,Auburn,MA,coarse
01503,42.31290,-71.84166,Berlin,MA,coarse
01504,42.11408,-71.79978,Blackstone,MA,coarse
01505,42.30004,-71.94346,Boylston,MA,coarse
01506,42.19169,-72.10501,Brookfield,MA,coarse
01507,42.13277,-71.97263,Charlton,MA,coarse
01508,42.10975,-72.07945,Charlton City,MA,coarse
01509,42.36481,-71.89687,Charlton Depot,MA,coarse
01510,42.41397,-71.68752,Clinton,MA,coarse
01515,42.20531,-72.04991,East Brookfield,MA,coarse
01516,42.11308,-71.89114,Douglas,MA,coarse
01517,42.36481,-71.89687,East Princeton,MA,coarse
01518,42.10641,-72.11405,Fiskdale,MA,coarse
01519,42.20394,-71.68286,Grafton,MA,coarse
01520,42.33679,-71.84532,Holden,MA,coarse
01521,42.06106,-72.16399,Holland,MA,coarse
01522,42.26463,-71.79544,Jefferson,MA,coarse
01523,42.42719,-71.91177,Lancaster,MA,coarse
01524,42.23819,-72.01238,Leicester,MA,coarse
01525,42.36481,-71.89687,Linwood,MA,coarse
01526,42.36481,-71.89687,Manchaug,MA,coarse
01527,42.25564,-71.81996,Millbury,MA,coarse
01529,42.12466,-71.84694,Millville,MA,coarse
01531,42.32094,-72.12864,New Braintree,MA,coarse
01532,42.32212,-71.64282,Northborough,MA,coarse
01534,42.20719,-71.85681,Northbridge,MA,coarse
01535,42.27538,-72.08934,North Brookfield,MA,coarse
01536,42.40756,-71.86040,North Grafton,MA,coarse
01537,42.16624,-71.89105,North Oxford,MA,coarse
01538,42.36481,-71.89687,North Uxbridge,MA,coarse
01540,42.10922,-71.85544,Oxford,MA,coarse
01541,42.45193,-71.88006,Princeton,MA,coarse
01542,42.22008,-71.91436,Rochdale,MA,coarse
01543,42.38352,-71.95463,Rutland,MA,coarse
01545,42.28699,-71.71531,Shrewsbury,MA,coarse
01546,42.36481,-71.89687,Shrewsbury,MA,coarse
